country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Tunisia,Africa,272940,9332,226070,37538,415,22907,783,1186045,99543,11914881
Turkey,Asia,3903573,34182,3372629,496762,2891,45900,402,41892922,492595,85045404
Turks And Caicos Islands,North America,2357,17,2283,57,2,60244,435,41059,1049458,39124
Uganda,Africa,41174,337,40779,58,24,879,7,969637,20694,46855361
UK,Europe,4373343,127100,3981812,264431,406,64159,1865,136821861,2007241,68164143
Ukraine,Europe,1872785,37758,1430234,404793,177,43025,867,8677716,199359,43528048
United Arab Emirates,Asia,485675,1533,470175,13967,,48648,154,40403698,4047105,9983359
Uruguay,South America,147173,1533,113125,32515,494,42253,440,1532512,439982,3483126
USA,North America,31990143,576298,24560856,6852989,9321,96206,1733,420822699,1265571,332516170
Uzbekistan,Asia,85291,634,83089,1568,23,2520,19,1377915,40711,33846159
Vanuatu,Australia/Oceania,3,,1,2,,10,,470,1503,312702
Venezuela,South America,175812,1795,158399,15618,237,6196,63,3359014,118388,28372923
Viet Nam,Asia,2707,35,2445,227,,28,,2598753,26512,98020700
Wallis And Futuna Islands,Australia/Oceania,437,5,44,388,3,39426,451,1331,120083,11084
Western Sahara,Africa,10,1,8,1,,16,2,,,608703
Yemen,Asia,5446,1068,2059,2319,23,180,35,22934,756,30334834
Zambia,Africa,90064,1227,88077,760,57,4795,65,1308716,69680,18781755
Zimbabwe,Africa,37307,1542,34901,864,12,2482,103,394257,26229,15031062
